patient_id,stromal,neoplastic,inflammatory,benign epithelial,necrotic,no label
TCGA-KK-A8IA-01Z-00-DX1,543268,590182,180586,25353,6857,8794
TCGA-X4-A8KQ-01Z-00-DX7,226815,75942,41042,11269,1468,2027
TCGA-2A-A8VX-01Z-00-DX1,275400,656874,69726,78594,3340,3946
TCGA-G9-6378-01Z-00-DX1,721868,514685,73039,13107,13627,8008
TCGA-H9-A6BX-01Z-00-DX1,80405,38232,7182,12816,318,703
TCGA-HC-7749-01Z-00-DX1,33204,86846,5050,5894,4091,1572
TCGA-HC-7745-01Z-00-DX1,54921,94358,14210,5424,5406,1583
TCGA-QU-A6IM-01Z-00-DX1,197538,225169,36760,3996,18808,8564
TCGA-HC-7212-01Z-00-DX1,69657,131378,4432,3785,2805,2123
TCGA-G9-6332-01Z-00-DX1,98260,16223,7695,4742,2086,407
TCGA-KK-A6E0-01Z-00-DX1,121001,178384,17340,7489,2628,1273
TCGA-G9-6362-01Z-00-DX1,526488,1055677,131053,17271,22003,10924
TCGA-G9-A9S7-01Z-00-DX1,141158,40020,19531,10127,3705,631
TCGA-HC-A6AN-01Z-00-DX1,208524,361768,14918,9282,7135,4823
TCGA-J4-8200-01Z-00-DX1,260642,348572,22743,11901,4609,2084
TCGA-G9-6366-01Z-00-DX1,251905,255291,31200,12247,7332,4114
TCGA-XJ-A83G-01Z-00-DX1,36286,25720,9828,3579,1055,430
TCGA-VP-A875-01Z-00-DX1,239840,263616,15106,10648,3839,8967
TCGA-XK-AAIR-01Z-00-DX1,96273,43014,10299,15999,1176,833
TCGA-VP-A87B-01Z-00-DX1,302739,448610,33587,31903,9903,4453
TCGA-J4-A67L-01Z-00-DX1,818368,761154,125098,107388,5817,16031
TCGA-KK-A7AU-01Z-00-DX1,404510,593655,116753,40653,5192,12962
TCGA-WW-A8ZI-01Z-00-DX4,287990,408211,96962,3997,8816,3753
TCGA-Y6-A9XI-01Z-00-DX5,51082,30127,3404,879,425,2035
TCGA-KK-A7AP-01Z-00-DX1,209983,225501,22823,6083,2578,2014
TCGA-J4-A6M7-01Z-00-DX1,67699,38709,8549,1494,836,648
TCGA-V1-A8WW-01Z-00-DX1,165696,33323,17395,2448,2043,349
TCGA-G9-6361-01Z-00-DX1,307620,231509,50137,1522,6072,5657
TCGA-FC-A8O0-01Z-00-DX1,250799,136109,49982,24482,5501,4756
TCGA-HC-8261-01Z-00-DX1,879,648,68,62,108,17
TCGA-V1-A9O9-01Z-00-DX1,220626,120000,56470,14008,5421,1771
TCGA-KK-A8IJ-01Z-00-DX1,156611,13834,14284,3448,1238,275
TCGA-XJ-A9DQ-01Z-00-DX1,245431,184479,38137,12845,7562,2938
TCGA-HC-A9TE-01Z-00-DX1,29302,53912,10445,7082,2407,920
TCGA-X4-A8KQ-01Z-00-DX3,289123,307828,26602,4261,2132,7439
TCGA-HC-7231-01Z-00-DX1,25640,26988,6015,2577,1151,533
TCGA-EJ-5495-01Z-00-DX1,283228,262851,27688,4420,11255,4464
TCGA-TK-A8OK-01Z-00-DX1,274297,103372,95434,92585,4501,28181
TCGA-CH-5767-01Z-00-DX1,67089,136147,15209,4367,1753,3426
TCGA-KK-A6E8-01Z-00-DX1,265471,292679,46070,36805,4040,1725
TCGA-EJ-7315-01Z-00-DX1,300081,192352,106509,36787,6961,3979
TCGA-CH-5751-01Z-00-DX1,44557,106702,8163,2561,1120,3176
TCGA-X4-A8KQ-01Z-00-DX8,138745,17874,30304,4653,1341,1169
TCGA-V1-A8MK-01Z-00-DX1,299066,126234,39400,18684,1338,2188
TCGA-EJ-A46F-01Z-00-DX1,16743,10697,3196,342,673,69
TCGA-CH-5752-01Z-00-DX1,100246,123299,47361,11795,5640,6556
TCGA-HC-7232-01Z-00-DX1,105166,144787,14654,10403,3798,1616
TCGA-MG-AAMC-01Z-00-DX2,14323,4886,3201,674,502,68
TCGA-XK-AAJR-01Z-00-DX1,115105,81714,5417,3599,1121,909
TCGA-YL-A8SI-01Z-00-DX2,293594,177340,57820,8356,5875,7628
TCGA-EJ-7331-01Z-00-DX1,51422,68338,8509,3669,2132,535
TCGA-CH-5737-01Z-00-DX1,49977,72318,19096,1231,3353,6456
TCGA-YL-A8SI-01Z-00-DX1,244345,189764,57394,33473,1884,7154
TCGA-EJ-5527-01Z-00-DX1,234910,344065,35540,41282,6266,2727
TCGA-G9-7510-01Z-00-DX1,38634,39795,6604,2550,1137,722
TCGA-HC-8265-01Z-00-DX1,31597,75540,3427,3083,2252,944
TCGA-G9-7522-01Z-00-DX1,4889,88,469,74,108,12
TCGA-CH-5750-01Z-00-DX1,302239,743363,204701,69776,15671,42706
TCGA-G9-6338-01Z-00-DX1,558674,531584,62610,8851,13795,7388
TCGA-V1-A9ZK-01Z-00-DX1,300871,123395,23741,8854,4671,1213
TCGA-J4-A67T-01Z-00-DX1,227973,238818,43160,26432,6235,4313
TCGA-G9-6351-01Z-00-DX1,179301,158223,28568,7833,4590,2076
TCGA-QU-A6IN-01Z-00-DX1,276259,154931,43835,30186,8462,8965
TCGA-KK-A59V-01Z-00-DX1,218987,142133,112918,32925,3645,3848
TCGA-HI-7169-01Z-00-DX1,146222,68969,35466,6048,15035,994
TCGA-KK-A7B4-01Z-00-DX1,356003,414062,130247,19643,2632,7957
TCGA-2A-AAYO-01Z-00-DX1,1286027,513031,210863,111457,7588,8052
TCGA-VP-A87K-01Z-00-DX1,90262,271986,16130,8897,3114,1677
TCGA-HC-7210-01Z-00-DX1,40929,74769,8737,8525,2790,1054
TCGA-KK-A8IH-01Z-00-DX1,326586,356517,38490,17023,3166,4320
TCGA-EJ-5496-01Z-00-DX1,326067,313107,57190,20550,12943,6765
TCGA-EJ-5501-01Z-00-DX1,383735,263112,95561,70655,11469,4113
TCGA-EJ-7317-01Z-00-DX1,284152,277004,38441,26858,9903,4321
TCGA-EJ-7788-01Z-00-DX1,120490,203815,59089,8465,4181,1438
TCGA-X4-A8KQ-01Z-00-DX5,429054,217785,76126,26340,2374,5592
TCGA-CH-5746-01Z-00-DX1,51459,45756,9084,10904,1399,1726
TCGA-V1-A9OT-01Z-00-DX1,181198,76719,19897,19817,1800,789
TCGA-YL-A8HO-01Z-00-DX1,500670,737146,34112,4412,11418,41938
TCGA-V1-A9OH-01Z-00-DX1,210347,93807,27911,10596,2326,3206
TCGA-KK-A8ID-01Z-00-DX1,483807,370261,65984,25182,4493,6400
TCGA-HC-7233-01Z-00-DX1,24562,12893,4677,2060,1880,260
TCGA-HC-8257-01Z-00-DX1,38749,35920,7157,4609,2308,611
TCGA-G9-6348-01Z-00-DX1,109345,39053,10987,3229,2265,890
TCGA-YL-A8SC-01Z-00-DX1,128644,40697,115691,8236,4356,1236
TCGA-HC-A6HX-01Z-00-DX1,22683,26050,3555,5948,1765,713
TCGA-G9-A9S0-01Z-00-DX1,237549,262393,164533,18224,5923,2545
TCGA-YL-A8SK-01Z-00-DX4,462956,426185,78763,31915,6498,5226
TCGA-VP-A87J-01Z-00-DX1,392587,65408,24470,25130,3021,3910
TCGA-G9-6336-01Z-00-DX1,408929,235420,49651,10164,8506,8360
TCGA-KK-A7AZ-01Z-00-DX1,323830,303791,27607,8440,2690,2273
TCGA-KK-A5A1-01Z-00-DX1,67792,128530,32435,11818,1598,833
TCGA-G9-6354-01Z-00-DX1,116265,74256,19846,12912,3150,1174
TCGA-M7-A724-01Z-00-DX1,65124,346242,33838,57171,2708,4311
TCGA-XK-AAIV-01Z-00-DX1,353767,162156,135738,4142,4812,10900
TCGA-XJ-A9DK-01Z-00-DX1,327929,261411,68219,22714,11021,2918
TCGA-M7-A71Y-01Z-00-DX1,136007,286137,22772,12933,1773,4288
TCGA-KK-A8II-01Z-00-DX1,238600,469367,25703,7701,2275,4063
TCGA-EJ-5522-01Z-00-DX1,242142,565601,64113,25765,11774,8390
TCGA-XJ-A83H-01Z-00-DX1,76334,38380,50400,7671,7772,1089
